Symbol,Last Close,Total CAGR,CAGR (5 Years)
NESTLEIND,2268.85009765625,9.070790840571341,7.454573866449188
BHARTIARTL,1725.800048828125,14.342257266916514,26.930843044923726
MAXHEALTH,1170.25,58.950771908514454,60.06654560371902
HDFCBANK,1770.3499755859375,20.025068073440046,8.486689920255053
ICICIBANK,1343.0999755859375,16.79027635446948,20.59231218178075
NESTLEIND,2268.85009765625,9.070790438632592,7.454572209978827
BHARTIARTL,1725.800048828125,14.342256587851754,26.930840086757748
MAXHEALTH,1170.25,58.95077521597489,60.06654560371902
HDFCBANK,1770.3499755859375,20.025067200234403,8.486689920255053
ICICIBANK,1343.0999755859375,16.79027635446948,20.59230938653871
